Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[8, 18]",Public Indoor Gathering Person Limit - 1,Mandatory Mask Wearing >= 3,-0.29213,0.0231,True
"[10, 16]",Public Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 30,0.2187,0.01659,True
"[11, 17]",Public Indoor Gathering Person Limit - 30,Extra Private Indoor Household Limit,-0.02448,0.02792,False
"[13, 15]",Private Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 10,0.07407,0.05277,True
"[5, 6]",Primary Schools Closed,Secondary Schools Closed,0.03993,0.04011,False
"[2, 9]",Leisure Venues Closed,Public Indoor Gathering Person Limit - 2,0.24945,0.01769,True
"[1, 7]",Gastronomy Closed,Universities Away,-0.06595,0.00787,True
"[4, 0]",Curfew,Night Clubs Closed,0.12139,0.06457,True
"[9, 18]",Public Indoor Gathering Person Limit - 2,Mandatory Mask Wearing >= 3,0.06648,0.01895,True
"[10, 17]",Public Indoor Gathering Person Limit - 10,Extra Private Indoor Household Limit,0.46697,0.01997,True
"[11, 16]",Public Indoor Gathering Person Limit - 30,Private Indoor Gathering Person Limit - 30,0.24617,0.01738,True
"[7, 8]",Universities Away,Public Indoor Gathering Person Limit - 1,-0.18435,0.0157,True
"[4, 5]",Curfew,Primary Schools Closed,-0.07244,0.02469,True
"[0, 12]",Night Clubs Closed,Extra Public Indoor Household Limit,-0.01306,0.0319,False
"[14, 13]",Private Indoor Gathering Person Limit - 2,Private Indoor Gathering Person Limit - 1,0.08869,0.07091,True
"[6, 3]",Secondary Schools Closed,Retail Closed,-0.19292,0.02471,True
"[12, 16]",Extra Public Indoor Household Limit,Private Indoor Gathering Person Limit - 30,0.2286,0.031,True
"[13, 17]",Private Indoor Gathering Person Limit - 1,Extra Private Indoor Household Limit,-0.06525,0.05295,True
"[14, 18]",Private Indoor Gathering Person Limit - 2,Mandatory Mask Wearing >= 3,0.31099,0.01522,True
"[15, 7]",Private Indoor Gathering Person Limit - 10,Universities Away,-0.14665,0.00997,True
"[1, 11]",Gastronomy Closed,Public Indoor Gathering Person Limit - 30,0.03389,0.02794,True
"[5, 2]",Primary Schools Closed,Leisure Venues Closed,-0.46747,0.02582,True
"[8, 3]",Public Indoor Gathering Person Limit - 1,Retail Closed,0.16667,0.0168,True
"[9, 10]",Public Indoor Gathering Person Limit - 2,Public Indoor Gathering Person Limit - 10,-0.005,0.02453,False
"[12, 17]",Extra Public Indoor Household Limit,Extra Private Indoor Household Limit,0.25944,0.01986,True
"[13, 16]",Private Indoor Gathering Person Limit - 1,Private Indoor Gathering Person Limit - 30,0.08811,0.0613,True
"[15, 18]",Private Indoor Gathering Person Limit - 10,Mandatory Mask Wearing >= 3,0.08679,0.0257,True
"[3, 6]",Retail Closed,Secondary Schools Closed,-0.14819,0.02646,True
"[4, 8]",Curfew,Public Indoor Gathering Person Limit - 1,0.19695,0.0174,True
"[2, 0]",Leisure Venues Closed,Night Clubs Closed,0.0076,0.01816,False
"[11, 1]",Public Indoor Gathering Person Limit - 30,Gastronomy Closed,0.04875,0.03952,True
