date,confirm,region
2020-12-11,273,Salzburg
2020-12-12,192,Salzburg
2020-12-13,243,Salzburg
2020-12-14,403,Salzburg
2020-12-15,226,Salzburg
2020-12-16,190,Salzburg
2020-12-17,137,Salzburg
2020-12-18,198,Salzburg
2020-12-19,114,Salzburg
2020-12-20,83,Salzburg
2020-12-21,238,Salzburg
2020-12-22,232,Salzburg
2020-12-23,285,Salzburg
2020-12-24,150,Salzburg
2020-12-25,172,Salzburg
2020-12-26,145,Salzburg
2020-12-27,211,Salzburg
2020-12-28,274,Salzburg
2020-12-29,339,Salzburg
2020-12-30,359,Salzburg
2020-12-31,324,Salzburg
2021-01-01,159,Salzburg
2021-01-02,283,Salzburg
